# <E_L> and var[E_L] for 10 run instances:
#                -----------rw.var.min-----------  ----------var.Eref.min----------  ----------urw.var.min-----------  ------------MAD.min-------------  -------------E.min--------------
#sy--basis---in----------<E_L>---------var[E_L]------------<E_L>---------var[E_L]------------<E_L>---------var[E_L]------------<E_L>---------var[E_L]------------<E_L>---------var[E_L]--
N   cc-pvtz  03   -54.51548 0.00051 0.967  0.011    -54.54575 0.00032 1.016  0.021    -54.54158 0.00050 1.016  0.012    -54.54534 0.00049 0.980  0.011    -54.55204 0.00053 1.151  0.015 
N   cc-pvtz  04   -54.53252 0.00049 0.977  0.016    -54.54498 0.00033 1.038  0.046    -54.54490 0.00051 1.039  0.069    -54.54499 0.00049 1.023  0.028    -54.55163 0.00052 1.133  0.016 
N   cc-pvtz  05   -54.36831 0.00063 1.027  0.015    -54.54521 0.00032 1.0133 0.0088   -54.54262 0.00050 1.008  0.022    -54.54497 0.00049 0.993  0.012    -54.55097 0.00053 1.132  0.015 
N   cc-pvtz  06   -54.51279 0.00051 0.965  0.010    -54.54544 0.00032 1.027  0.012    -54.54340 0.00050 1.011  0.015    -54.54565 0.00048 1.007  0.020    -54.55169 0.00053 1.144  0.010 
N   cc-pvtz  07   -54.53072 0.00049 0.975  0.014    -54.54532 0.00032 1.034  0.013    -54.54386 0.00050 1.017  0.019    -54.54486 0.00049 1.007  0.016    -54.55214 0.00052 1.123  0.011 
N   cc-pvtz  08   -54.41676 0.00058 1.003  0.011    -54.54421 0.00033 1.054  0.030    -54.54495 0.00050 1.000  0.013    -54.54447 0.00049 0.997  0.012    -54.55242 0.00054 1.149  0.012 
N   cc-pvtz  09   -54.53284 0.00050 0.978  0.016    -54.54430 0.00032 1.011  0.011    -54.54456 0.00049 1.006  0.016    -54.54444 0.00049 1.021  0.027    -54.55123 0.00053 1.133  0.014 
N   cc-pvtz  10   -54.52472 0.00050 0.970  0.012    -54.53790 0.00033 1.0911 0.0086   -54.54328 0.00050 1.008  0.017    -54.54418 0.00049 0.997  0.011    -54.55292 0.00053 1.142  0.023 
                                                                                                                                                                   
                                                                                                                                                                   
O   cc-pvtz  01   -74.95633 0.00074 1.977  0.022    -75.01449 0.00046 2.077  0.017    -75.01304 0.00071 2.082  0.023    -75.01488 0.00071 2.131  0.041    -75.02146 0.00077 2.326  0.031 
O   cc-pvtz  02   -74.99142 0.00071 2.011  0.027    -75.01449 0.00047 2.146  0.036    -75.01367 0.00073 2.104  0.029    -75.01338 0.00071 2.088  0.024    -75.02155 0.00078 2.349  0.030 
O   cc-pvtz  03   -74.93643 0.00077 2.033  0.037    -75.01463 0.00046 2.118  0.021    -75.01260 0.00072 2.112  0.039    -75.01437 0.00071 2.097  0.040    -75.02143 0.00077 2.345  0.065 
O   cc-pvtz  04   -74.83307 0.00083 2.086  0.053    -75.01424 0.00046 2.096  0.020    -75.01277 0.00072 2.142  0.032    -75.01497 0.00070 2.074  0.022    -75.02212 0.00078 2.373  0.070 
O   cc-pvtz  05   -74.99877 0.00071 2.034  0.025    -75.01406 0.00046 2.099  0.017    -75.01333 0.00073 2.095  0.026    -75.01336 0.00069 2.048  0.021    -75.02150 0.00077 2.373  0.044 
O   cc-pvtz  06   -74.88769 0.00080 2.076  0.045    -75.01448 0.00048 2.31   0.20     -75.01284 0.00071 2.102  0.034    -75.01443 0.00070 2.096  0.026    -75.02008 0.00077 2.345  0.052 
O   cc-pvtz  07   -74.94317 0.00076 2.004  0.033    -75.01383 0.00046 2.083  0.020    -75.01288 0.00071 2.109  0.030    -75.01472 0.00071 2.092  0.032    -75.02074 0.00075 2.266  0.028 
O   cc-pvtz  08   -74.92750 0.00077 2.044  0.047    -75.01305 0.00046 2.098  0.026    -75.01449 0.00072 2.107  0.036    -75.01351 0.00071 2.109  0.032    -75.02073 0.00074 2.236  0.029 
O   cc-pvtz  09   -74.96979 0.00074 2.025  0.034    -75.01414 0.00046 2.106  0.021    -75.01410 0.00072 2.126  0.035    -75.01511 0.00071 2.103  0.030    -75.02213 0.00077 2.298  0.036 
O   cc-pvtz  10   -74.93137 0.00077 2.045  0.033    -75.01456 0.00047 2.209  0.086    -75.01383 0.00072 2.102  0.025    -75.01477 0.00073 2.25   0.21     -75.01991 0.00075 2.290  0.076 


C2  cc-pvtz  01   -75.69606 0.00063 1.123  0.011    -75.70739 0.00034 1.1360 0.0044   -75.70190 0.00063 1.147  0.017    -75.70667 0.00063 1.156  0.014    -75.76273 0.00069 1.5431 0.0095
C2  cc-pvtz  02   -75.69344 0.00062 1.129  0.011    -75.70586 0.00034 1.1377 0.0062   -75.70616 0.00063 1.150  0.011    -75.70602 0.00063 1.166  0.047    -75.76146 0.00069 1.547  0.010 
C2  cc-pvtz  03   -75.70292 0.00061 1.1346 0.0099   -75.70655 0.00034 1.151  0.014    -75.70268 0.00063 1.150  0.012    -75.70816 0.00062 1.1448 0.0095   -75.76219 0.00072 1.646  0.010 
C2  cc-pvtz  04   -75.68023 0.00062 1.137  0.010    -75.70805 0.00034 1.1462 0.0072   -75.70383 0.00062 1.1410 0.0087   -75.70557 0.00062 1.157  0.016    -75.76449 0.00072 1.651  0.012 
C2  cc-pvtz  05   -75.69762 0.00062 1.129  0.018    -75.70795 0.00034 1.1419 0.0060   -75.70300 0.00063 1.154  0.010    -75.70734 0.00062 1.1420 0.0092   -75.76262 0.00072 1.639  0.011 
C2  cc-pvtz  06   -75.69990 0.00063 1.128  0.013    -75.70642 0.00034 1.1487 0.0078   -75.70415 0.00063 1.1499 0.0081   -75.70447 0.00062 1.134  0.014    -75.76326 0.00070 1.573  0.011 
C2  cc-pvtz  07   -75.69581 0.00062 1.1114 0.0069   -75.70805 0.00034 1.1366 0.0045   -75.70241 0.00063 1.1528 0.0095   -75.70529 0.00062 1.1287 0.0077   -75.76262 0.00072 1.6473 0.0088
C2  cc-pvtz  08   -75.67894 0.00063 1.125  0.010    -75.70668 0.00034 1.1488 0.0093   -75.70263 0.00063 1.162  0.023    -75.70621 0.00062 1.145  0.013    -75.76267 0.00071 1.592  0.011 
C2  cc-pvtz  09   -75.69568 0.00063 1.142  0.021    -75.70810 0.00034 1.1514 0.0090   -75.70339 0.00063 1.147  0.011    -75.70555 0.00062 1.138  0.012    -75.76192 0.00070 1.602  0.027 
C2  cc-pvtz  10   -75.69425 0.00062 1.133  0.014    -75.70819 0.00034 1.1525 0.0084   -75.70280 0.00063 1.162  0.015    -75.70605 0.00063 1.21   0.13     -75.76088 0.00071 1.594  0.014 
                                                                                                                                                                    
                                                                                                                                                                    
